CountryCode,WealthDegree,Game,Genre
15,4,2,3
15,4,2,3
15,4,2,3
15,4,2,3
15,4,2,3
54,4,2,3
7,4,2,3
7,4,2,3
7,4,2,3
7,4,2,3
9,3,2,3
15,3,2,3
54,3,2,3
54,3,2,3
46,3,2,3
46,3,2,3
46,3,2,3
46,3,2,3
9,3,2,3
19,3,2,3
19,3,2,3
49,3,2,3
54,3,2,3
40,3,2,3
4,3,2,3
45,3,2,3
19,3,2,3
53,3,2,3
53,3,2,3
19,3,2,3
43,3,2,3
15,3,2,3
53,3,2,3
43,3,2,3
39,3,2,3
43,3,2,3
54,3,2,3
43,3,2,3
43,3,2,3
46,3,2,3
45,3,2,3
46,3,2,3
46,3,2,3
16,3,2,3
19,2,2,3
19,2,2,3
9,2,2,3
46,2,2,3
54,2,2,3
46,2,2,3
54,2,2,3
18,2,2,3
15,2,2,3
31,2,2,3
46,2,2,3
15,2,2,3
54,2,2,3
54,2,2,3
7,2,2,3
7,2,2,3
19,2,2,3
6,2,2,3
46,2,2,3
15,2,2,3
45,2,2,3
13,2,2,3
19,2,2,3
15,2,2,3
18,2,2,3
15,2,2,3
7,2,2,3
45,2,2,3
51,2,2,3
19,2,2,3
49,2,2,3
51,2,2,3
46,2,2,3
18,2,2,3
31,2,2,3
31,2,2,3
31,2,2,3
45,2,2,3
19,2,2,3
31,2,2,3
19,2,2,3
49,2,2,3
6,2,2,3
9,2,2,3
46,2,2,3
7,2,2,3
5,2,2,3
17,2,2,3
14,2,2,3
20,2,2,3
43,2,2,3
11,2,2,3
54,2,2,3
43,2,2,3
19,2,2,3
55,2,2,3
15,4,3,4
18,4,3,4
3,4,3,4
19,4,3,4
18,4,3,4
14,4,3,4
28,4,3,4
6,4,3,4
32,4,3,4
18,4,3,4
42,4,3,4
54,4,3,4
54,4,3,4
11,4,3,4
11,4,3,4
16,4,3,4
54,4,3,4
46,4,3,4
46,4,3,4
26,4,3,4
44,4,3,4
9,4,3,4
11,4,3,4
11,4,3,4
11,4,3,4
15,4,3,4
9,4,3,4
11,4,3,4
11,4,3,4
11,4,3,4
38,4,3,4
11,4,3,4
11,4,3,4
3,4,3,4
45,4,3,4
